From,To
A0A0H3KXZ2,bmj:BMULJ_05460
A0A0H3KQD7,bmj:BMULJ_05459
A0A0H3KPH9,bmj:BMULJ_05457
A0A0H3KPX4,bmj:BMULJ_05456
A0A0H3KXY6,bmj:BMULJ_05455
A0A0H3KQD2,bmj:BMULJ_05454
A0A0H3KPH4,bmj:BMULJ_05452
A0A0H3KQC8,bmj:BMULJ_05449
A0A0H3KUH4,bmj:BMULJ_05448
A0A0H3KPW3,bmj:BMULJ_05446
A0A0H3KXX7,bmj:BMULJ_05445
A0A0H3KQC4,bmj:BMULJ_05444
A0A0H3KPW0,bmj:BMULJ_05438
A0A0H3KXX3,bmj:BMULJ_05437
A0A0H3KQB9,bmj:BMULJ_05436
A0A0H3KUG4,bmj:BMULJ_05435
A0A0H3KPG1,bmj:BMULJ_05434
A0A0H3KPV4,bmj:BMULJ_05433
A0A0H3KXW8,bmj:BMULJ_05432
A0A0H3KQB5,bmj:BMULJ_05431
A0A0H3KUF9,bmj:BMULJ_05430
A0A0H3KPF6,bmj:BMULJ_05429
A0A0H3KPU8,bmj:BMULJ_05428
A0A0H3KXW1,bmj:BMULJ_05427
A0A0H3KUF6,bmj:BMULJ_05425
A0A0H3KPF4,bmj:BMULJ_05424
A0A0H3KXV6,bmj:BMULJ_05422
A0A0H3KUF1,bmj:BMULJ_05420
A0A0H3KPF1,bmj:BMULJ_05419
A0A0H3KPU1,bmj:BMULJ_05418
A0A0H3KXV1,bmj:BMULJ_05417
A0A0H3KQA1,bmj:BMULJ_05416
A0A0H3KPT6,bmj:BMULJ_05413
A0A0H3KQ99,bmj:BMULJ_05411
A0A0H3KUE3,bmj:BMULJ_05410
A0A0H3KPT1,bmj:BMULJ_05408
A0A0H3KPD9,bmj:BMULJ_05404
