From,To
F8LKB4,ssr:SALIVB_1513
F8LJB5,ssr:SALIVB_1150
F8LJB6,ssr:SALIVB_1151
F8LG98,ssr:SALIVB_0003
F8LGA3,ssr:SALIVB_0008
F8LGB4,ssr:SALIVB_0037
F8LGD7,ssr:SALIVB_0061
F8LGF5,ssr:SALIVB_0079
F8LGF8,ssr:SALIVB_0095
F8LGF9,ssr:SALIVB_0096
F8LGG3,ssr:SALIVB_0101
F8LGG5,ssr:SALIVB_0103
F8LGG6,ssr:SALIVB_0104
F8LGH1,ssr:SALIVB_0110
F8LGH5,ssr:SALIVB_0114
F8LGH9,ssr:SALIVB_0118
F8LGI1,ssr:SALIVB_0120
F8LGI2,ssr:SALIVB_0121
F8LGI6,ssr:SALIVB_0126
F8LGI7,ssr:SALIVB_0127
F8LGI8,ssr:SALIVB_0128
F8LGJ4,ssr:SALIVB_0134
F8LGJ6,ssr:SALIVB_0136
F8LGJ7,ssr:SALIVB_0137
F8LGJ8,ssr:SALIVB_0138
F8LGJ9,ssr:SALIVB_0139
F8LGK2,ssr:SALIVB_0142
F8LGK3,ssr:SALIVB_0144
F8LGK8,ssr:SALIVB_0149
F8LIW3,ssr:SALIVB_0461
F8LIW3,ssr:SALIVB_0993
F8LIW3,ssr:SALIVB_1078
F8LIW3,ssr:SALIVB_1097
F8LIW3,ssr:SALIVB_1535
F8LIW3,ssr:SALIVB_2008
F8LIW3,ssr:SALIVB_2024
F8LIW3,ssr:SALIVB_2029
F8LGP5,ssr:SALIVB_0198
F8LGR2,ssr:SALIVB_0215
F8LGU4,ssr:SALIVB_0249
F8LGU5,ssr:SALIVB_0250
F8LGU6,ssr:SALIVB_0251
F8LGU9,ssr:SALIVB_0254
F8LGV0,ssr:SALIVB_0255
F8LGV1,ssr:SALIVB_0256
F8LGW4,ssr:SALIVB_0269
F8LGW7,ssr:SALIVB_0272
F8LGY7,ssr:SALIVB_0292
F8LGY8,ssr:SALIVB_0293
F8LGY9,ssr:SALIVB_0294
F8LGZ1,ssr:SALIVB_0296
F8LGZ2,ssr:SALIVB_0297
F8LH12,ssr:SALIVB_0317
F8LH14,ssr:SALIVB_0319
F8LH17,ssr:SALIVB_0322
F8LH26,ssr:SALIVB_0331
F8LH42,ssr:SALIVB_0347
F8LH55,ssr:SALIVB_0360
F8LH66,ssr:SALIVB_0378
F8LH76,ssr:SALIVB_0388
F8LHC4,ssr:SALIVB_0436
F8LHD2,ssr:SALIVB_0444
F8LHE3,ssr:SALIVB_0456
F8LHF6,ssr:SALIVB_0470
F8LHG4,ssr:SALIVB_0478
F8LHG5,ssr:SALIVB_0479
F8LHH6,ssr:SALIVB_0490
F8LHI5,ssr:SALIVB_0499
F8LHJ2,ssr:SALIVB_0506
F8LHJ8,ssr:SALIVB_0513
F8LHJ9,ssr:SALIVB_0514
F8LHK0,ssr:SALIVB_0515
F8LHK4,ssr:SALIVB_0519
F8LHK5,ssr:SALIVB_0520
F8LHK6,ssr:SALIVB_0521
F8LHK7,ssr:SALIVB_0522
F8LHL4,ssr:SALIVB_0529
F8LHM2,ssr:SALIVB_0537
F8LHM8,ssr:SALIVB_0543
F8LHM9,ssr:SALIVB_0544
F8LHN0,ssr:SALIVB_0545
F8LHN7,ssr:SALIVB_0552
F8LHQ4,ssr:SALIVB_0569
F8LHS5,ssr:SALIVB_0592
F8LHS9,ssr:SALIVB_0596
F8LHX8,ssr:SALIVB_0648
F8LLI0,ssr:SALIVB_1950
F8LLJ4,ssr:SALIVB_1965
F8LLJ9,ssr:SALIVB_1970
F8LLN2,ssr:SALIVB_2003
F8LLN8,ssr:SALIVB_2009
F8LLP1,ssr:SALIVB_2012
F8LLP7,ssr:SALIVB_2018
F8LLP8,ssr:SALIVB_2019
F8LLQ8,ssr:SALIVB_2030
F8LLR2,ssr:SALIVB_2035
F8LLS3,ssr:SALIVB_2046
F8LLS6,ssr:SALIVB_2049
F8LLT3,ssr:SALIVB_2056
F8LLT5,ssr:SALIVB_2058
F8LLT6,ssr:SALIVB_2059
F8LLU4,ssr:SALIVB_2067
F8LLV3,ssr:SALIVB_2078
F8LLV7,ssr:SALIVB_2082
F8LM04,ssr:SALIVB_2130
F8LM05,ssr:SALIVB_2131
F8LKJ0,ssr:SALIVB_1595
F8LJE3,ssr:SALIVB_1180
F8LL83,ssr:SALIVB_1845
F8LLC9,ssr:SALIVB_1896
F8LGC9,ssr:SALIVB_0053
F8LGZ3,ssr:SALIVB_0298
F8LH27,ssr:SALIVB_0332
F8LH29,ssr:SALIVB_0334
F8LH51,ssr:SALIVB_0356
F8LKJ9,ssr:SALIVB_1605
F8LKJ6,ssr:SALIVB_1602
F8LKF6,ssr:SALIVB_1559
F8LKA7,ssr:SALIVB_1506
F8LK32,ssr:SALIVB_1425
F8LK28,ssr:SALIVB_1420
F8LJW1,ssr:SALIVB_1353
F8LJP2,ssr:SALIVB_1283
F8LJH8,ssr:SALIVB_1216
F8LJH4,ssr:SALIVB_1212
F8LJ23,ssr:SALIVB_1054
F8LJ21,ssr:SALIVB_1052
F8LJ08,ssr:SALIVB_1039
F8LIM3,ssr:SALIVB_0900
F8LIM2,ssr:SALIVB_0899
F8LIM0,ssr:SALIVB_0897
F8LIL2,ssr:SALIVB_0889
F8LIK3,ssr:SALIVB_0880
F8LIK0,ssr:SALIVB_0877
F8LIH1,ssr:SALIVB_0847
F8LIG5,ssr:SALIVB_0841
F8LIG4,ssr:SALIVB_0840
F8LIE6,ssr:SALIVB_0822
F8LIE0,ssr:SALIVB_0816
F8LI33,ssr:SALIVB_0705
F8LKP5,ssr:SALIVB_1654
F8LKS4,ssr:SALIVB_1683
F8LKS8,ssr:SALIVB_1687
F8LKZ3,ssr:SALIVB_1753
F8LL02,ssr:SALIVB_1762
F8LL04,ssr:SALIVB_1764
F8LL06,ssr:SALIVB_1766
F8LL89,ssr:SALIVB_1852
F8LL91,ssr:SALIVB_1854
F8LLA1,ssr:SALIVB_1864
F8LLH4,ssr:SALIVB_1944
F8LLK6,ssr:SALIVB_1977
F8LLR8,ssr:SALIVB_2041
F8LLU0,ssr:SALIVB_2063
F8LLW6,ssr:SALIVB_2091
F8LLU9,ssr:SALIVB_2073
F8LKY3,ssr:SALIVB_1743
F8LGK1,ssr:SALIVB_0141
F8LJD3,ssr:SALIVB_1168
F8LK30,ssr:SALIVB_1422
F8LK93,ssr:SALIVB_1490
F8LGT4,ssr:SALIVB_0239
F8LKF4,ssr:SALIVB_1557
F8LLM3,ssr:SALIVB_1994
F8LLL1,ssr:SALIVB_1982
F8LKX9,ssr:SALIVB_1739
F8LKX7,ssr:SALIVB_1737
F8LKT0,ssr:SALIVB_1689
F8LJP8,ssr:SALIVB_1289
F8LIK7,ssr:SALIVB_0884
F8LGD9,ssr:SALIVB_0063
F8LIF0,ssr:SALIVB_0826
F8LIE9,ssr:SALIVB_0825
F8LII6,ssr:SALIVB_0862
F8LID6,ssr:SALIVB_0812
F8LHW3,ssr:SALIVB_0633
F8LHW6,ssr:SALIVB_0636
F8LHY9,ssr:SALIVB_0659
F8LIE8,ssr:SALIVB_0824
F8LIF3,ssr:SALIVB_0829
F8LIG0,ssr:SALIVB_0836
F8LIK4,ssr:SALIVB_0881
F8LIL1,ssr:SALIVB_0888
F8LIL5,ssr:SALIVB_0892
F8LIP7,ssr:SALIVB_0925
F8LIQ2,ssr:SALIVB_0930
F8LIQ3,ssr:SALIVB_0931
F8LIR2,ssr:SALIVB_0941
F8LIR3,ssr:SALIVB_0942
F8LIR4,ssr:SALIVB_0943
F8LIV9,ssr:SALIVB_0989
F8LIY2,ssr:SALIVB_1012
F8LIZ6,ssr:SALIVB_1027
F8LJ01,ssr:SALIVB_1032
F8LJ22,ssr:SALIVB_1053
F8LJ33,ssr:SALIVB_1064
F8LJ35,ssr:SALIVB_1066
F8LJ72,ssr:SALIVB_1104
F8LJ75,ssr:SALIVB_1107
F8LJ79,ssr:SALIVB_1112
F8LJ94,ssr:SALIVB_1127
F8LJ95,ssr:SALIVB_1128
F8LJA5,ssr:SALIVB_1139
F8LJA6,ssr:SALIVB_1140
F8LJA7,ssr:SALIVB_1141
F8LJE5,ssr:SALIVB_1182
F8LJF3,ssr:SALIVB_1191
F8LJG1,ssr:SALIVB_1199
F8LJG2,ssr:SALIVB_1200
F8LJG6,ssr:SALIVB_1204
F8LJJ8,ssr:SALIVB_1237
F8LJK1,ssr:SALIVB_1240
F8LJK5,ssr:SALIVB_1244
F8LJN2,ssr:SALIVB_1273
F8LJQ4,ssr:SALIVB_1295
F8LJQ6,ssr:SALIVB_1297
F8LJQ7,ssr:SALIVB_1298
F8LJQ8,ssr:SALIVB_1299
F8LJR5,ssr:SALIVB_1306
F8LJR6,ssr:SALIVB_1307
F8LJS0,ssr:SALIVB_1311
F8LJS6,ssr:SALIVB_1317
F8LJV6,ssr:SALIVB_1347
F8LJW7,ssr:SALIVB_1359
F8LJX0,ssr:SALIVB_1362
F8LJZ9,ssr:SALIVB_1391
F8LK05,ssr:SALIVB_1397
F8LK69,ssr:SALIVB_1464
F8LKE4,ssr:SALIVB_1544
F8LKE5,ssr:SALIVB_1545
F8LKF3,ssr:SALIVB_1556
F8LKG6,ssr:SALIVB_1570
F8LKH5,ssr:SALIVB_1580
F8LKH6,ssr:SALIVB_1581
F8LKI1,ssr:SALIVB_1586
F8LKI5,ssr:SALIVB_1590
F8LKK2,ssr:SALIVB_1608
F8LKK5,ssr:SALIVB_1611
F8LKK6,ssr:SALIVB_1612
F8LKK8,ssr:SALIVB_1615
F8LKL0,ssr:SALIVB_1617
F8LKL2,ssr:SALIVB_1619
F8LKL3,ssr:SALIVB_1620
F8LKL4,ssr:SALIVB_1621
F8LKL5,ssr:SALIVB_1622
F8LKM7,ssr:SALIVB_1635
F8LKP7,ssr:SALIVB_1656
F8LKQ7,ssr:SALIVB_1666
F8LKQ8,ssr:SALIVB_1667
F8LKS7,ssr:SALIVB_1686
F8LKV3,ssr:SALIVB_1713
F8LKV7,ssr:SALIVB_1717
F8LKY0,ssr:SALIVB_1740
F8LKZ0,ssr:SALIVB_1750
F8LL15,ssr:SALIVB_1775
F8LL19,ssr:SALIVB_1779
F8LL22,ssr:SALIVB_1782
F8LL24,ssr:SALIVB_1784
F8LL39,ssr:SALIVB_1801
F8LL41,ssr:SALIVB_1803
F8LL72,ssr:SALIVB_1834
F8LL85,ssr:SALIVB_1847
F8LL92,ssr:SALIVB_1855
F8LLE5,ssr:SALIVB_1912
F8LLU6,ssr:SALIVB_2069
F8LKW3,ssr:SALIVB_1723
F8LL74,ssr:SALIVB_1836
F8LI12,ssr:SALIVB_0683
F8LG96,ssr:SALIVB_0001
F8LG97,ssr:SALIVB_0002
F8LGA0,ssr:SALIVB_0005
F8LGA1,ssr:SALIVB_0006
F8LGA5,ssr:SALIVB_0010
F8LGA6,ssr:SALIVB_0011
F8LGA8,ssr:SALIVB_0013
F8LGA9,ssr:SALIVB_0032
F8LGB1,ssr:SALIVB_0034
F8LI40,ssr:SALIVB_0035
F8LI40,ssr:SALIVB_0712
F8LI40,ssr:SALIVB_1003
F8LI40,ssr:SALIVB_1676
F8LI41,ssr:SALIVB_0036
F8LI41,ssr:SALIVB_0713
F8LI41,ssr:SALIVB_1002
F8LI41,ssr:SALIVB_1677
F8LGB5,ssr:SALIVB_0038
F8LGB6,ssr:SALIVB_0039
F8LGB7,ssr:SALIVB_0040
F8LGB8,ssr:SALIVB_0041
F8LGB9,ssr:SALIVB_0042
F8LGC0,ssr:SALIVB_0043
F8LGC1,ssr:SALIVB_0044
F8LGC2,ssr:SALIVB_0046
F8LGC3,ssr:SALIVB_0047
F8LGC5,ssr:SALIVB_0049
