From	To
Q8DMW1	spr:spr2046
Q8DR05	spr:spr0401
Q8DP22	spr:spr1408
Q8CYD5	spr:spr1638
Q8DN59	spr:spr1902
Q59947	spr:spr1042
Q8DNP3	spr:spr1609
Q8CYY8	spr:spr0703
P0A460	spr:spr1665
Q8DQP2	spr:spr0573
P64073	spr:spr1426
Q8CZ86	spr:spr0184
Q8DMX5	spr:spr2030
Q8CZA6	spr:spr0115
Q8CZB2	spr:spr0109
Q8CZB0	spr:spr0111
Q8DRC2	spr:spr0229
Q8DQD1	spr:spr0731
Q8DQZ1	spr:spr0424
Q8CY89	spr:spr1838
Q8DP51	spr:spr1352
Q8DN44	spr:spr1933
Q8DP46	spr:spr1357
Q8DNP6	spr:spr1606
Q8CWP0	spr:spr1721
P65537	spr:spr1775
P0A4B4	spr:spr0198
Q8CYI3	spr:spr1428
Q8DQD6	spr:spr0726
Q8DQR8	spr:spr0532
Q8DRF8	spr:spr0150
Q8CWP7	spr:spr1555
Q8DPQ8	spr:spr1050
Q8DQK6	spr:spr0628
Q8DNP4	spr:spr1608
Q8DPP8	spr:spr1066
Q8DR28	spr:spr0363
Q8DNN4	spr:spr1624
Q8DNS7	spr:spr1568
Q8DNH8	spr:spr1712
Q8DNF9	spr:spr1760
Q8DMX4	spr:spr2031
Q8DRF1	spr:spr0162
Q8DN05	spr:spr1995
Q8DN39	spr:spr1940
Q8DQI2	spr:spr0657
Q8DRD5	spr:spr0209
Q8DRG0	spr:spr0148
Q8DRB3	spr:spr0240
Q8DQK4	spr:spr0630
Q8DR69	spr:spr0305
Q8DQN5	spr:spr0581
V9H0I2	spr:spr1877
Q8DNN0	spr:spr1629
Q8CZE9	spr:spr0385
Q8DQ98	spr:spr0777
P0A4I6	spr:spr0708
Q8DRF0	spr:spr0163
P60630	spr:spr0200
Q8DPQ3	spr:spr1057
Q8DRJ0	spr:spr0094
Q8CY91	spr:spr1818
Q8CZ89	spr:spr0175
Q8DQP0	spr:spr0575
Q8DMY0	spr:spr2025
Q8DR12	spr:spr0391
Q8CZA5	spr:spr0116
Q8CWV5	spr:spr0191
Q8DQP4	spr:spr0565
Q8DQI3	spr:spr0655
Q8DR53	spr:spr0336
Q8DRK1	spr:spr0076
Q8DP38	spr:spr1376
Q8DP16	spr:spr1417
Q8DQK2	spr:spr0632
Q8CZ43	spr:spr0484
Q8CWR3	spr:spr1065
Q8CZ20	spr:spr0568
P0A4C4	spr:spr0195
Q8DNY0	spr:spr1466
Q8DRF7	spr:spr0152
P67187	spr:spr1738
P0A4B6	spr:spr0192
P0A2V9	spr:spr1898
Q8CWP3	spr:spr1713
Q8DQS9	spr:spr0517
Q8DN52	spr:spr1910
Q8DNX6	spr:spr1474
P0A2Z3	spr:spr1364
Q8DNW7	spr:spr1493
Q8DQQ6	spr:spr0547
Q7CRA7	spr:spr1693
Q8DR49	spr:spr0340
Q8DNN1	spr:spr1628
P59202	spr:spr0384
Q8DND2	spr:spr1801
Q8DQS7	spr:spr0520
P64043	spr:spr0392
P66709	spr:spr0215
Q8DRH3	spr:spr0130
Q8DRG4	spr:spr0140
Q8DQM3	spr:spr0602
Q8DRI7	spr:spr0100
Q8DNF2	spr:spr1773
Q8DQN2	spr:spr0589
Q8DNJ8	spr:spr1678
Q8DNV1	spr:spr1524
Q8DNC8	spr:spr1805
Q8CYF7	spr:spr1537
Q8DNW2	spr:spr1507
Q8DNH2	spr:spr1726
Q8DMW7	spr:spr2039
Q8DR88	spr:spr0277
Q8CZ39	spr:spr0489
P59651	spr:spr0002
Q8DNB1	spr:spr1830
Q8DQU1	spr:spr0504
Q8CYF8	spr:spr1535
Q8DN15	spr:spr1974
Q8CM18	spr:spr0013
Q8CM18	spr:spr1819
Q8DNM1	spr:spr1644
Q8CWQ5	spr:spr1384
Q8CZ23	spr:spr0563
P0A4H8	spr:spr0707
Q8DP77	spr:spr1314
Q8DQS8	spr:spr0519
Q8DRE3	spr:spr0173
Q8DR77	spr:spr0292
Q8DN03	spr:spr1997
Q8DN63	spr:spr1896
Q8CZ31	spr:spr0510
Q8DMZ0	spr:spr2011
