From,To
A6T5L3,kpn:KPN_00432
A6T5L5,kpn:KPN_00434
A6T5L6,kpn:KPN_00435
A6T5L7,kpn:KPN_00436
A6T5L8,kpn:KPN_00437
A6T5M0,kpn:KPN_00439
A6T5M1,kpn:KPN_00440
A6T5M3,kpn:KPN_00442
A6T5M4,kpn:KPN_00443
A6T5M6,kpn:KPN_00445
A6T5M9,kpn:KPN_00448
A6T5N1,kpn:KPN_00450
A6T5N2,kpn:KPN_00451
A6T5N4,kpn:KPN_00453
A6T5N5,kpn:KPN_00454
A6T5N7,kpn:KPN_00456
A6T5N8,kpn:KPN_00458
A6T5N9,kpn:KPN_00459
A6T5P1,kpn:KPN_00461
A6T5P2,kpn:KPN_00462
A6T5P5,kpn:KPN_00465
A6T5P7,kpn:KPN_00467
A6T5R6,kpn:KPN_00487
A6T5R7,kpn:KPN_00488
A6T5R9,kpn:KPN_00490
A6T5S4,kpn:KPN_00495
A6T5S5,kpn:KPN_00496
A6T5S8,kpn:KPN_00499
A6T5S9,kpn:KPN_00500
A6T5T1,kpn:KPN_00502
A6T5T8,kpn:KPN_00509
A6T5U3,kpn:KPN_00514
A6T5V0,kpn:KPN_00521
A6T5V1,kpn:KPN_00522
A6T5W1,kpn:KPN_00532
A6T5W2,kpn:KPN_00533
A6T6S9,kpn:KPN_00864
A6T5Y0,kpn:KPN_00551
A6T5Y1,kpn:KPN_00552
A6T5Y5,kpn:KPN_00556
A6T5Y6,kpn:KPN_00557
A6T602,kpn:KPN_00573
A6T603,kpn:KPN_00574
A6T635,kpn:KPN_00606
A6T658,kpn:KPN_00629
A6T661,kpn:KPN_00632
A6T662,kpn:KPN_00633
A6T663,kpn:KPN_00634
A6T670,kpn:KPN_00641
A6T679,kpn:KPN_00650
A6T681,kpn:KPN_00652
A6T688,kpn:KPN_00659
A6T689,kpn:KPN_00660
A6T691,kpn:KPN_00662
A6T692,kpn:KPN_00663
A6T693,kpn:KPN_00664
A6T695,kpn:KPN_00666
A6T696,kpn:KPN_00667
A6T697,kpn:KPN_00668
A6T698,kpn:KPN_00669
A6T6A7,kpn:KPN_00678
A6T6A9,kpn:KPN_00680
A6T6B3,kpn:KPN_00684
A6T6B5,kpn:KPN_00686
A6T6B7,kpn:KPN_00695
A6T6B8,kpn:KPN_00696
A6T6B9,kpn:KPN_00697
A6T6C0,kpn:KPN_00698
A6T6C1,kpn:KPN_00699
A6T6C3,kpn:KPN_00701
A6T6C4,kpn:KPN_00702
A6T6C8,kpn:KPN_00706
A6T6C9,kpn:KPN_00707
A6T6D0,kpn:KPN_00708
A6T6D2,kpn:KPN_00710
A6T6D3,kpn:KPN_00711
A6T6E9,kpn:KPN_00727
A6T6F1,kpn:KPN_00729
A6T6F3,kpn:KPN_00731
A6T6F6,kpn:KPN_00734
A6T6F7,kpn:KPN_00735
A6T6F9,kpn:KPN_00737
A6T6G0,kpn:KPN_00738
A6T6G1,kpn:KPN_00739
A6T6G2,kpn:KPN_00740
A6T6G4,kpn:KPN_00742
A6T6G7,kpn:KPN_00745
A6T6G8,kpn:KPN_00746
A6T6H2,kpn:KPN_00757
A6T6H3,kpn:KPN_00758
A6T6I3,kpn:KPN_00768
A6T6I8,kpn:KPN_00773
