From,To
Q4WKD5,afm:AFUA_1G02850
Q4WKD4,afm:AFUA_1G02860
Q4WKD3,afm:AFUA_1G02870
Q4WKD2,afm:AFUA_1G02880
Q4WKD1,afm:AFUA_1G02890
Q4WKD0,afm:AFUA_1G02900
Q4WKC9,afm:AFUA_1G02910
Q4WKC8,afm:AFUA_1G02920
Q4WKC7,afm:AFUA_1G02930
Q4WKC6,afm:AFUA_1G02940
Q4WKC5,afm:AFUA_1G02950
Q4WKC4,afm:AFUA_1G02960
Q4WKC3,afm:AFUA_1G02970
Q4WKC1,afm:AFUA_1G02990
Q4WKC0,afm:AFUA_1G03000
Q4WKB9,afm:AFUA_1G03010
Q4WKB8,afm:AFUA_1G03020
Q4WKB7,afm:AFUA_1G03030
Q4WKB5,afm:AFUA_1G03050
Q4WKB4,afm:AFUA_1G03060
Q4WKB3,afm:AFUA_1G03070
Q4WKB2,afm:AFUA_1G03080
Q4WKB1,afm:AFUA_1G03090
Q4WKB0,afm:AFUA_1G03100
Q4WKA9,afm:AFUA_1G03110
Q4WKA8,afm:AFUA_1G03120
Q4WKA7,afm:AFUA_1G03130
Q4WKA6,afm:AFUA_1G03140
Q4WKA5,afm:AFUA_1G03150
Q4WKA4,afm:AFUA_1G03160
Q4WKA3,afm:AFUA_1G03170
Q4WKA2,afm:AFUA_1G03180
Q4WKA1,afm:AFUA_1G03200
Q4WKA0,afm:AFUA_1G03190
Q4WK99,afm:AFUA_1G03210
Q4WK98,afm:AFUA_1G03220
Q4WK97,afm:AFUA_1G03230
Q4WK96,afm:AFUA_1G03240
Q4WK95,afm:AFUA_1G03250
Q4WK94,afm:AFUA_1G03260
Q4WK93,afm:AFUA_1G03270
Q4WK92,afm:AFUA_1G03280
Q4WK91,afm:AFUA_1G03290
Q4WK90,afm:AFUA_1G03300
Q4WK89,afm:AFUA_1G03310
Q4WK88,afm:AFUA_1G03320
Q4WK84,afm:AFUA_1G03360
Q4WK83,afm:AFUA_1G03370
Q4WK82,afm:AFUA_1G03380
Q4WK81,afm:AFUA_1G03390
Q4WK80,afm:AFUA_1G03400
Q4WK79,afm:AFUA_1G03410
Q4WK78,afm:AFUA_1G03420
Q4WK77,afm:AFUA_1G03430
Q4WK76,afm:AFUA_1G03440
Q4WK75,afm:AFUA_1G03450
Q4WK74,afm:AFUA_1G03460
Q4WK73,afm:AFUA_1G03470
Q4WK72,afm:AFUA_1G03480
Q4WK71,afm:AFUA_1G03490
Q4WK70,afm:AFUA_1G03500
Q4WK69,afm:AFUA_1G03510
Q4WK68,afm:AFUA_1G03520
Q4WK67,afm:AFUA_1G03530
Q4WK66,afm:AFUA_1G03540
Q4WK65,afm:AFUA_1G03550
Q4WK64,afm:AFUA_1G03560
Q8X176,afm:AFUA_1G03570
Q4WK62,afm:AFUA_1G03580
Q4WK61,afm:AFUA_1G03590
Q4WK60,afm:AFUA_1G03600
Q4WK59,afm:AFUA_1G03610
Q4WK58,afm:AFUA_1G03620
Q4WK57,afm:AFUA_1G03630
Q4WK56,afm:AFUA_1G03640
Q4WK55,afm:AFUA_1G03650
Q4WK54,afm:AFUA_1G03660
Q4WK53,afm:AFUA_1G03670
Q4WK52,afm:AFUA_1G03680
Q4WK51,afm:AFUA_1G03690
Q4WK50,afm:AFUA_1G03700
Q4WK49,afm:AFUA_1G03710
